,0
596,STEAM_0:0:519711384
597,STEAM_0:0:16281384
598,STEAM_0:1:32917293
599,STEAM_0:0:714495012
600,err_10600
601,STEAM_0:1:242277946
602,err_10602
603,STEAM_0:0:219629670
604,STEAM_0:1:38238832
605,STEAM_0:0:722996081
606,STEAM_0:1:45441309
607,STEAM_0:1:739162514
608,STEAM_0:0:176888478
609,STEAM_0:1:54761081
610,STEAM_0:0:737760702
611,STEAM_0:1:222375940
612,STEAM_0:1:174709192
613,STEAM_0:1:462322789
614,STEAM_0:1:762137991
615,STEAM_0:0:723291886
616,err_10616
617,STEAM_0:1:762371994
618,STEAM_0:0:68140862
619,STEAM_0:0:762063687
620,STEAM_0:1:106021448
621,STEAM_0:1:236142557
622,STEAM_0:0:36307406
623,STEAM_0:0:116986639
624,STEAM_0:0:53727141
625,STEAM_0:1:620445038
626,STEAM_0:1:419343127
627,STEAM_0:0:723286387
628,STEAM_0:0:153718849
629,STEAM_0:1:86785224
630,STEAM_0:1:90195786
631,STEAM_0:1:762814227
632,STEAM_0:1:246146983
633,STEAM_0:0:455043662
634,STEAM_0:1:627459998
635,STEAM_0:1:742942032
636,STEAM_0:1:637851309
637,STEAM_0:0:605500713
638,STEAM_0:1:762583104
639,STEAM_0:0:225499138
640,STEAM_0:1:244168116
641,STEAM_0:1:200640830
642,STEAM_0:1:182161249
643,STEAM_0:0:544246492
644,STEAM_0:0:49313878
645,STEAM_0:0:15400052
646,STEAM_0:1:761293076
647,STEAM_0:1:763193770
648,STEAM_0:1:224239387
649,STEAM_0:0:426036875
650,STEAM_0:1:451531441
651,STEAM_0:1:488076051
652,err_10652
653,STEAM_0:1:763329944
654,STEAM_0:0:64689945
655,STEAM_0:0:571216124
656,err_10656
657,STEAM_0:1:423282759
658,STEAM_0:0:78273066
659,STEAM_0:1:450587623
660,STEAM_0:0:4131918
661,STEAM_0:1:126987378
662,STEAM_0:0:523667739
663,STEAM_0:0:500325376
664,STEAM_0:0:553009589
665,STEAM_0:1:52086165
666,STEAM_0:0:59162582
667,STEAM_0:1:705435228
668,STEAM_0:0:523043021
669,STEAM_0:1:189331755
670,STEAM_0:1:204835583
671,STEAM_0:0:234121572
672,STEAM_0:1:427601879
673,STEAM_0:0:757990805
674,STEAM_0:0:561656556
675,STEAM_0:1:103363742
676,STEAM_0:0:714859772
677,STEAM_0:0:220068264
678,STEAM_0:0:211249071
679,STEAM_0:1:603425266
680,STEAM_0:1:556131623
681,STEAM_0:1:157080460
682,STEAM_0:0:151681428
683,STEAM_0:1:618238518
684,STEAM_0:0:236118135
685,STEAM_0:1:617824737
686,STEAM_0:0:605635273
687,STEAM_0:1:184994614
688,err_10688
689,STEAM_0:1:570580597
690,STEAM_0:1:507385405
691,STEAM_0:1:540360104
692,STEAM_0:0:700770528
693,STEAM_0:0:113230391
694,STEAM_0:1:508805058
