,0
710,STEAM_0:1:677882939
711,STEAM_0:0:767544065
712,STEAM_0:1:711634946
713,STEAM_0:0:760349315
714,STEAM_0:1:14368904
715,STEAM_0:0:212394670
716,STEAM_0:1:202582317
717,STEAM_0:1:89864156
718,STEAM_0:1:601039531
719,STEAM_0:0:868316560
720,STEAM_0:1:52795330
721,STEAM_0:0:580616104
722,STEAM_0:0:225694953
723,STEAM_0:0:161616479
724,STEAM_0:0:514019111
725,STEAM_0:0:8515396
726,STEAM_0:0:17900180
727,STEAM_0:0:422871444
728,STEAM_0:0:428751007
729,STEAM_0:1:641781790
730,STEAM_0:0:73062299
731,STEAM_0:0:442764973
732,STEAM_0:1:561167979
733,STEAM_0:1:419597022
734,STEAM_0:0:95880878
735,STEAM_0:1:816769253
736,STEAM_0:0:617436964
737,STEAM_0:1:210494212
738,STEAM_0:1:620170985
739,STEAM_0:1:222957334
740,STEAM_0:0:859989826
741,STEAM_0:0:551082613
742,STEAM_0:0:160299151
743,STEAM_0:0:846826513
744,STEAM_0:1:91710443
745,STEAM_0:1:233445720
746,STEAM_0:1:709952737
747,STEAM_0:1:54248074
748,STEAM_0:0:435331572
749,STEAM_0:1:686206968
750,STEAM_0:1:548599488
751,STEAM_0:0:228185865
752,STEAM_0:1:210746707
753,STEAM_0:1:507869018
754,STEAM_0:0:2560066
755,STEAM_0:0:93430412
756,STEAM_0:0:575706756
757,STEAM_0:0:60133054
758,STEAM_0:0:440038483
759,STEAM_0:0:666333983
760,STEAM_0:1:122372402
761,STEAM_0:0:641046780
762,STEAM_0:0:225052013
763,STEAM_0:0:756680567
764,STEAM_0:0:756393545
765,STEAM_0:0:760891725
766,STEAM_0:1:571568779
767,STEAM_0:1:158385237
768,STEAM_0:0:815383214
769,STEAM_0:1:485388943
770,STEAM_0:0:723331259
771,STEAM_0:0:447398801
772,STEAM_0:0:509422759
773,STEAM_0:0:587452907
774,STEAM_0:0:52799453
775,STEAM_0:0:548833248
776,STEAM_0:1:553732126
777,STEAM_0:0:467081247
778,err_20778
779,STEAM_0:1:702999782
780,STEAM_0:1:33678865
781,STEAM_0:1:452227750
782,STEAM_0:0:8037333
783,STEAM_0:0:18311183
784,STEAM_0:1:715198971
785,STEAM_0:0:443074661
786,STEAM_0:0:588062599
787,STEAM_0:0:638772219
788,STEAM_0:0:432134073
789,STEAM_0:1:795253270
790,STEAM_0:1:508141804
791,STEAM_0:0:622019313
792,STEAM_0:0:179656434
793,STEAM_0:0:632720033
794,STEAM_0:0:781783299
795,STEAM_0:0:84158249
796,err_20796
797,STEAM_0:1:689080029
798,STEAM_0:1:227130532
799,STEAM_0:1:84744401
800,STEAM_0:1:468421518
801,STEAM_0:0:213020789
802,STEAM_0:1:147534189
803,err_20803
804,STEAM_0:0:754343531
805,STEAM_0:0:740861972
806,STEAM_0:0:860312044
807,STEAM_0:0:201672679
808,STEAM_0:1:713687717
809,STEAM_0:0:566975541
810,STEAM_0:0:671699735
811,STEAM_0:0:688770340
812,STEAM_0:0:644312613
813,STEAM_0:0:439965343
814,STEAM_0:1:33706702
815,STEAM_0:1:197039448
816,STEAM_0:0:147669857
817,STEAM_0:1:526752059
818,STEAM_0:0:555862005
819,STEAM_0:0:589580337
820,STEAM_0:0:727662095
821,STEAM_0:1:584613542
822,STEAM_0:1:599252127
823,STEAM_0:1:862988480
824,STEAM_0:1:646344790
825,STEAM_0:0:562734411
826,STEAM_0:0:219375376
827,STEAM_0:1:664406485
828,STEAM_0:0:777816562
829,STEAM_0:1:226587124
830,STEAM_0:1:168278966
831,STEAM_0:1:40467325
832,STEAM_0:0:555130261
833,STEAM_0:0:216488123
834,STEAM_0:1:796034040
835,STEAM_0:1:213849556
836,STEAM_0:0:569427706
837,STEAM_0:1:420712786
838,STEAM_0:0:865734820
839,STEAM_0:1:611086649
840,STEAM_0:0:868487171
841,STEAM_0:1:556821607
842,STEAM_0:1:431149320
843,STEAM_0:0:148769771
844,STEAM_0:0:509971340
845,STEAM_0:1:80026592
846,STEAM_0:0:859894127
847,STEAM_0:0:11468302
848,STEAM_0:0:74022030
849,STEAM_0:0:612440771
850,STEAM_0:0:824162184
851,STEAM_0:1:790552029
852,STEAM_0:1:566404292
853,STEAM_0:1:94029495
854,STEAM_0:0:138905271
855,STEAM_0:1:109401362
856,err_20856
857,STEAM_0:0:567423367
858,STEAM_0:1:621131733
859,STEAM_0:0:458422849
860,STEAM_0:0:143838498
861,STEAM_0:1:586154627
862,STEAM_0:0:50569729
863,STEAM_0:1:603212363
864,STEAM_0:1:600117066
865,STEAM_0:0:89366237
866,STEAM_0:1:125267135
867,STEAM_0:1:202976926
868,STEAM_0:1:738872206
869,STEAM_0:0:953996
870,STEAM_0:0:95991294
871,STEAM_0:1:441099213
872,STEAM_0:1:228097632
873,STEAM_0:1:418625263
874,STEAM_0:1:234118061
875,STEAM_0:0:83704513
876,STEAM_0:0:516525695
877,STEAM_0:0:99136919
878,STEAM_0:0:188304471
879,STEAM_0:0:137239682
880,STEAM_0:0:83855661
881,STEAM_0:1:151003488
882,STEAM_0:0:671397153
883,STEAM_0:1:146402862
884,STEAM_0:1:184499484
885,STEAM_0:0:95618332
886,STEAM_0:0:201042489
887,STEAM_0:0:439967406
888,STEAM_0:1:586731184
889,STEAM_0:1:83946811
890,STEAM_0:1:437483557
891,STEAM_0:0:602878773
892,STEAM_0:0:177786875
893,STEAM_0:1:163518679
894,STEAM_0:1:5699077
895,STEAM_0:1:432039929
896,STEAM_0:1:185638579
897,STEAM_0:1:241561600
898,STEAM_0:1:869472002
899,STEAM_0:1:197309899
900,STEAM_0:1:544342036
901,STEAM_0:1:625424092
902,STEAM_0:0:582355844
903,STEAM_0:0:861206030
904,STEAM_0:0:12190740
905,STEAM_0:1:120023722
906,STEAM_0:1:113952462
907,STEAM_0:1:536651432
908,STEAM_0:1:799554822
909,STEAM_0:1:18153852
910,STEAM_0:0:245136213
911,STEAM_0:1:679951599
912,STEAM_0:0:76931013
913,STEAM_0:0:209004413
914,STEAM_0:1:560861739
915,STEAM_0:0:239791466
916,STEAM_0:1:804447800
917,STEAM_0:1:503029142
918,STEAM_0:1:563290000
919,STEAM_0:0:612595716
920,STEAM_0:1:558898643
921,STEAM_0:0:118085431
922,STEAM_0:0:76254614
923,STEAM_0:0:622266388
924,STEAM_0:1:199997194
925,STEAM_0:0:57286659
926,STEAM_0:1:438800468
927,STEAM_0:1:610837803
928,STEAM_0:0:869671858
929,STEAM_0:0:13443856
930,STEAM_0:1:590360251
931,STEAM_0:0:603537479
932,STEAM_0:1:92647949
933,STEAM_0:0:231089530
934,STEAM_0:1:509873527
935,STEAM_0:0:86063732
936,STEAM_0:1:736522848
937,STEAM_0:1:616062261
938,STEAM_0:1:575239643
939,STEAM_0:0:445034476
940,STEAM_0:1:456595629
941,STEAM_0:1:505610287
