,0
499,STEAM_0:1:523919124
500,STEAM_0:0:501789440
501,STEAM_0:0:158736660
502,STEAM_0:0:207148602
503,STEAM_0:1:514015585
504,STEAM_0:0:544165552
505,STEAM_0:1:211507171
506,STEAM_0:0:191798683
507,STEAM_0:0:556713228
508,STEAM_0:0:212028646
509,STEAM_0:0:164594051
510,STEAM_0:0:56570089
511,STEAM_0:1:246601210
512,STEAM_0:0:512522126
513,STEAM_0:0:140563766
514,STEAM_0:1:516863003
515,STEAM_0:1:534826639
516,STEAM_0:0:233895101
517,STEAM_0:1:163870415
518,STEAM_0:1:521540764
519,STEAM_0:1:95295393
520,STEAM_0:1:522637023
521,STEAM_0:0:460973505
522,STEAM_0:0:484365751
523,STEAM_0:0:78298554
524,STEAM_0:1:463773316
525,STEAM_0:1:110183245
526,STEAM_0:0:38129308
527,STEAM_0:1:81363249
528,STEAM_0:1:180660813
529,STEAM_0:1:190711954
530,STEAM_0:1:89801572
531,STEAM_0:1:535108867
532,STEAM_0:1:231455406
533,STEAM_0:0:218695812
534,STEAM_0:1:34641895
535,STEAM_0:1:150420626
536,STEAM_0:0:206786006
537,STEAM_0:0:74555711
538,STEAM_0:1:482194334
539,STEAM_0:0:522213486
540,STEAM_0:1:107640264
541,STEAM_0:0:172237175
542,STEAM_0:1:88366772
543,STEAM_0:0:439300384
544,STEAM_0:0:220458456
545,STEAM_0:0:25850261
546,STEAM_0:0:90300285
547,STEAM_0:0:232028727
548,STEAM_0:1:522693060
549,STEAM_0:0:138059965
550,STEAM_0:1:67582464
551,STEAM_0:1:39017784
552,STEAM_0:0:224268508
553,STEAM_0:0:186095784
554,STEAM_0:0:121915534
555,STEAM_0:0:451741038
556,STEAM_0:0:206141591
557,STEAM_0:0:513081586
558,STEAM_0:1:178920797
559,STEAM_0:1:54231089
560,STEAM_0:1:211131534
561,STEAM_0:0:536277298
562,STEAM_0:0:239546776
563,STEAM_0:1:158663490
564,STEAM_0:0:238761591
565,STEAM_0:0:123036762
566,STEAM_0:1:454688240
567,STEAM_0:1:522293917
568,STEAM_0:0:180455225
569,STEAM_0:1:214333718
570,STEAM_0:1:68612797
571,STEAM_0:1:476659070
572,STEAM_0:1:127347839
573,STEAM_0:1:47168093
574,STEAM_0:0:37496675
575,STEAM_0:0:90321024
576,STEAM_0:0:519383423
577,STEAM_0:0:113761443
578,STEAM_0:1:509059286
579,STEAM_0:1:530363995
580,STEAM_0:1:90456153
581,STEAM_0:1:216529567
582,STEAM_0:1:527209905
583,STEAM_0:1:423190063
584,STEAM_0:0:217304109
585,STEAM_0:0:455371395
586,STEAM_0:1:40608608
587,STEAM_0:0:466225155
588,STEAM_0:0:61839600
589,STEAM_0:0:89174001
590,STEAM_0:0:445789526
591,STEAM_0:1:524067664
592,STEAM_0:1:66934319
593,STEAM_0:0:447888038
594,STEAM_0:1:517900917
595,STEAM_0:1:33526833
596,STEAM_0:0:231464533
597,STEAM_0:0:168606718
598,STEAM_0:1:452732520
599,STEAM_0:1:33769454
600,STEAM_0:0:94757211
601,STEAM_0:0:186417468
602,STEAM_0:1:150315682
603,STEAM_0:0:234825249
604,STEAM_0:1:219304495
605,STEAM_0:1:157708415
606,STEAM_0:1:169227418
607,STEAM_0:0:86247661
608,STEAM_0:0:501791656
609,STEAM_0:1:440894737
610,STEAM_0:0:222274004
611,STEAM_0:1:177874579
612,STEAM_0:0:180679688
613,STEAM_0:1:224450193
614,STEAM_0:0:223802376
615,STEAM_0:1:151307227
616,STEAM_0:0:509175076
617,STEAM_0:1:204646312
618,STEAM_0:0:556366018
619,STEAM_0:1:68404957
620,STEAM_0:0:465997907
621,STEAM_0:1:122621377
622,STEAM_0:0:159742492
623,STEAM_0:0:126962264
624,STEAM_0:1:504125894
625,STEAM_0:0:49742520
626,STEAM_0:1:157655007
627,STEAM_0:1:66797431
628,STEAM_0:1:439847495
629,STEAM_0:1:436355311
630,STEAM_0:1:24066215
631,STEAM_0:0:539815963
632,STEAM_0:1:459435394
633,STEAM_0:0:421373621
634,STEAM_0:1:237633842
635,STEAM_0:1:166125328
636,STEAM_0:0:179532501
637,STEAM_0:0:157041024
638,STEAM_0:1:183796352
639,STEAM_0:1:435667554
640,STEAM_0:1:47123773
641,STEAM_0:1:52843490
642,STEAM_0:0:190379325
643,STEAM_0:1:82517884
644,STEAM_0:1:508701204
645,STEAM_0:0:216612712
646,STEAM_0:1:484720694
647,STEAM_0:1:459756627
648,STEAM_0:0:511643106
649,STEAM_0:1:51762869
650,STEAM_0:1:194387527
651,STEAM_0:0:156923364
652,STEAM_0:1:92112962
653,STEAM_0:0:453667866
654,STEAM_0:0:557275848
655,STEAM_0:1:176683822
656,STEAM_0:1:441470873
657,STEAM_0:1:185851634
658,STEAM_0:1:44815625
659,STEAM_0:1:522675657
660,STEAM_0:0:535556809
661,STEAM_0:0:38299359
662,STEAM_0:0:548107122
663,STEAM_0:1:440322321
664,STEAM_0:0:200338633
665,STEAM_0:1:170452698
666,STEAM_0:1:58743640
667,STEAM_0:1:105901360
668,STEAM_0:1:508248391
669,STEAM_0:0:188731497
670,STEAM_0:1:34197330
671,STEAM_0:1:234565547
672,STEAM_0:1:56793230
673,STEAM_0:1:508085214
674,STEAM_0:1:536695523
675,STEAM_0:1:202027440
676,STEAM_0:0:207419964
